Word,Meaning
about a week,(adv.) sattāhamattaṃ.
about to die,(adj.) maraṇāsanna.
above,(adv.; prep.) upari; uddhaṃ.
above calculation,(adj.) saṅkhyātiga;
abovesaid,(adj.) yathāvutta.
abrasion,(nt.) ghaṃsana; ghaṃsitaṭṭhāna.
abreast,"(adv.) samasamaṃ,"
abri dge,(v.t.) saṅkhipati; saṃharati. (pp.)
abridgement,(m.) saṅkhepa; saṅgaha. (nt.)
abroad,(adv.) vitthatākārena; bahi; videse.
abrogate,(v.t.) samūhanati; samudācāraṃ
abrogation,"(nt.) samūh anana,"
abrupt,(adj.) sāhasika; taṅkhaṇika;
abruption,(nt.) khaṇḍaso bhijjana.
abruptly,(adv.) sahasā; khaṇena.
abruptness,(nt.) accāyikatta.
abscission,(nt.) balavachindana.
abscond,(v.i.) aviditaṃ palāyati.
absco nder,(m.) palāyaka; nilīyaka.
absence,(f.) anupaṭṭhiti. (m.) vippavāsa;
absent,(adj.) anupaṭṭhita; avijjamāna.
absentee,(m.) anupaṭṭhitaka; pavāsī.
absolute,(adj.) paripuṇṇa; kev ala; ekaṃsika;
absolutely,(adv.) paripuṇṇaṃ;
absolution,(nt.) pāpamocana;
absolutism,(nt.) serīpālana.
absolve,(v.t.) pāpā or ap arādhāmoceti. (pp.)
absonant,(adj.) viruddha; kharassara.
absorb,(v.t.) pariyādiyati; antogataṃ karoti.
absorbent,(adj.) pariyādiyaka.  absorption : (nt.) pariyād iyana; sussana. (m.)
abstain,(v.i.) viramati; uparamati. (pp.)
abstemious,(adj.) mattaññū; mitabhoji.
abstemiously,(adv.) mattaññutāya.
abstention,(f.) virati. (nt.) viramana.
abstergent,(adj.) sodhaka; saṃsodhaka.
abstinence,(nt.) viramaṇa. (f.) veramaṇī ||
abstinence from food,(nt.) anasana. (m.)
abstinent,(adj.) virata; uparata.
abstract,(v.t.) samuddharati; saṅkhipati.
abst raction,(nt.) uddharaṇa; avaharaṇa;
abstruse,(adj.) gūḷha; duradhigama;
abstruseness,(nt.) gambhīratta;
absurd,(adj.) nindita; ñayaviruddha; ayogga.
absurdity,(m.) ñayavirodha. (f.) ayutti;
abu ndance,(nt.) bāhulla; vepulla;
abundant,(a.) bahula; vipula; pahūta;
abundantly,(adv.) bahuso; pāyena;
abuse,(v.t.) akkosati; paribhavati; nindati.
abusive,(adj.) gārayha; nindājanaka;
abut,(v.i.) āhacca tiṭṭhati. (pp.) āhacca
abutment,(f.) upakārikā. (m.) uddāpa;
abysmal,(adj.) atalampassa; agādha.
abyss,(m.) pātāla; narakāvāta.
academic,(adj.) vijjāvisayaka.
academical,(adj.) vijjaṭṭhānavisayaka.
academician,vijjālayaniyutta.
academy,(m.) vijjālaya; (f.) paṇḍitasabhā.
accede,(v.i.) anujānāti. (pp.) anumaññāta;
accelerate,(v.t.) turitayati. (v.i.) a ppamādī or
accelerating,(adj.) turitayamana.
acceleration,(nt.) sūghattapāpana. (f.)
accelerative,(adj.) sīghattapāpaka.
accelerator,(m.) vegajanaka.
accent,(v.t.) vegaṃ janetvā katheti;
accept,(v.t.) paṭigaṇhāti; sampaṭicchati;
acceptable,(adj.) adeyya; tuṭṭhijanaka;
acceptance,(nt.) paṭiggahana;
accepta tion,(m.) sammatattha; visesattha.
acceptor,paṭiggāhaka.
access,(m.) pavesa; otāra.
accessible,(adj.) upagamanīya; pattabba;
accession,(f.) sampatti; rajjappatti. (nt.)
accessory,(nt.) upakaraṇa; parikkhāra. (ad j.)
accidental,(adj.) anapekkhita; sahasāpatta.
accidentally,(adv.) asambhāvitaṃ;
accident,(f.) sahasāpatti. (m.)
acclaim,(v.t.) unnadati; ukkuṭṭhiṃ karoti.
acclamation,(m.) jayaghosa; ugghosa.
acclimation,(m.) desaguṇaparicaya.
acclimatisation,(m.) desaguṇaparicaya.
acclivity,(m.) pabbatanitamba.
accommodate,(v.t.) 1. sandhāneti; 2. vāseti;
accommo dation,(nt.) sandhāna;
accompanied by an army,(adj.) sasena.
accompanied with,(adj.) sahita; sameta;
accompaniment,(nt.) anugamana;
accompanying,(adj.) saddhiñcara.
accompany,(v.t.) parivāreti; anuga cchati.
accomplice,(m.) pāpasahāya; pāpamitta.  accomplish : (v.t.) sādheti; sampādeti;
accomplished in learning,vyatta;
accomplishment,(f.) saṃsiddhi; nipphatti;
accomplishment in learning,(nt.)
accomplishment of morals,(f.)
accomplishing,(adj.) sādhaka; nipphādaka;
accord,(v.i.) sameti; ekībhavati. (v.t.)
accordance,(m.) avirodha. (f.) sāmaggi.
accordant,"(adj,) anulomika; aviruddha;"
according,(adv.) yathānurūpaṃ; anukūlaṃ.
according to seniority,(adv.)
accordingly,(adv.)  yathānurūpaṃ;
accost,(v.t.) āmanteti. (pp.) āmantita. (nt.)
accouchement,(nt.) vijāyana. (f.) pasūti.
account,(f.) gaṇanā; saṅkalanā; pavatti. (m.)
account for,kāraṇaṃ or hetuṃ dasseti. (pp.)
accountable,(adj.) anuvijjanāraha;
accountant,(m.) gaṇaka; āyakammika.
accoutre,(v.t.) pasādheti; sajjeti; sannāheti.
accoutrement,(m.) kappana; sannāha.
accredit,(v.t.) vissasati; bhāram karoti. (pp.)
accredited,(adj.) paññatta; sabbasammata;
accrete,(v.i.) ekībhāvena vaḍḍhati. (pp.)
accretion,(m.) upac aya.
accrue,(v.i.) upacayati; vaḍḍhati. (pp.)
accumulate,(v.t.i.) sañcināti; upacināti;
accumulation,(m.) sañcaya; puñja. (nt.)
accumulator,(m.) āyūhaka; saṃhāraka.
accura cy,(f.) tathatā. (m.) tacchabhāva.
accurate,(adj.) avitatha; yathābhūta;
accurately,(adv.) tattato; yathābhūtaṃ.
accurse,(v.t.) abhisapati. (pp.) abhisatta.
accusation,(f.) codanā. (m.) apavāda. (nt.)
accusative,(f.) dut iyā vibhatti. (nt.)
accuse,(v.t.) upavadati; codeti. (pp.)
accuser,(m.) codaka.
accustom,(v.t.) paricayati; sikkhati. (pp.)
acephalous,(adj.) sirosuñña; adhipatirah ita.
acerbity,(nt.) ambilatta; kakkasatta.
ache,(v.i.) rujati. (f.) rujā; vedanā; pīḷā.
achieve,(v.t.) nipphādeti; sampādeti;
achievement,(f.) nipphatti; saṃsiddhi;
acid,(n.; adj. ) ambila.
acidify,(v.t.) ambilīkaroti. (v.i.)
acidity,(nt.) ambilatta.
acknowledge,(v.t.) sampaṭicchati; paṭijānāti.
acknowledgement,(nt.) sampaṭicchana;
acme,(f.) paramakoṭi. (m.) rimapariccheda.
acne,(f.) vadanapiḷaka.
acolyte,(m.) anatevāsī.
acoustic,(adj.) savaṇavisayaka.
acquaint,(v.t.) 1. ñāpeti; nivedeti. 2.
acquaintance,(nt.) sañjānana. (m.) paricaya.
acquainted with,santhuta; pariciṇṇa;
acquiesce,(v.i.) anujānāti; anumaññati. (pp.)
acquiescence,(f.) anuññā; anumati. (m.)
acquire,(v.t) paṭilabhati; adhigacchati. (pp.)
acquirement,(m.) paṭilābha; adhigama.  acquisition : (m.) paṭilābha. (f.) anuppatti.
acquisition of wealth,(m.) dhanasañcaya.
acquit,(v.t) apavādā moceti; niddosaṃ or
acquitance,(m.) iṇamokkha; iṇasodhana.
acquittal,(nt.) niravajjakaraṇa. (f.)
acre,(nt.) karīsamattaṭṭhāna. (m.)
acrid,(adj.) kaṭuka.
acrimonious,(adj.) kakkhaḷa; pharusa;
acrimony,(nt.) niṭṭh uratta; pharusatta.
acrobat,"(m.) 1. laṅghaka; rajjukīḷaka, 2."
acropolis,(nt.) uccanagara.
across,(adv.; prep.) tiriyaṃ; tiro.
act,(v.i) ācarati; anuyuñjati; midahati. (pp.)
acting,(adj.) aññasatthāya niyutta. (m.)
acting considerately,(adj.) nisammakārī
acting continuously,(adj.) sātaccakārī
acting for the good,(adj.) atthacara; hitesī.
action,(nt.) kamma; kicca. (m.) payoga. ||
bad action,(nt .) ducarita ; action for the
good,(adj.) sundara; bhaddaka; subha;
actionable,(adj.) anuyuñjanāraha.
active,(adj.) uyyutta; ussukka; analasa.
actively,(adv.) analasaṃ; saussāhaṃ.
activity,(m.) ussāha; uyyoga; ātappa;
actor,(m.) 1. naṭa; nattaka; raṅgakāra. 2.
actress,(f.) nāṭikā; nattakī.
actual,(adj.) yathābhūta; vijjamāna.
actuality,(nt.) taccha; tatta; sacca.
actualise,(v.t.) tathaṃ karoti; tathato
actually,(adv.) yathātathṃ; yathābhūtaṃ;
acumen,(n.) nipuṇatā. (f.) tikhiṇatā.
acuminate,(v.t.) tikhiṇīkaroti; tibbayati.
acute,(adj.) tiṇha; tikhiṇa; tibba.
acuteness,(nt.) tiṇhatta; tibbatta.
adage,(f.) upamākathā. (m.) viññupadesa.
Adam,(m.) ādimapurisa.
adamant,(n.) vajira. (nt.) atithaddhavatthu.
adamantine,(adj.) abhejja; vajirasadisa.
adapt,(v.t.) yoggaṃ or anurūpaṃkaroti.
adaptability,(n.) anukūlatā. (f.)
adaptable,(adj.) anurūpa; kammañña.
adaptation,(nt.) anukīlaka rana.
add,(v.t.i.) piṇḍeti; saṅkaleti. (pp.) piṇḍita;
addendum,(m.) parisiṭṭhasaṅgaha.
adder,(m.) gonasa.
addict,(v.t) āsajjati; allīyati (pp.) āsatta;
addicted,"(adj.) (to), soṇḍatta. (nt.) lolatta."
addition,(nt.)  saṅkalana; piṇḍana. (m.)
additional,(adj.) atireda; adhika ||
additional duty,(nt.) uttarikaraṇīya.
addle,(v.t.) āulīkaroti. (v.i.) pūtibhavati.
address,(v.t.) 1. ālapati; āmanteti. 2.
addressee,(m.) lekhanalābhī.
adduce,(v.t.) niddisati; udāharati. (pp.)
adducible,(adj.) niddisitabba; udāharaṇīya.
adept,(adj; 3.) nipuṇa; kusala; katupā sana;
adequate,(adj.) pahoṇaka; paṭibala; bhabba;
adhere,(v.i) laggati; sajjati; abhinivisati.
adherence,(nt.) laggana. (f.) āsatti. (m.)
adherent,(n.adj.) saṃlagga; saṃsatta;
adhesive,(adj.) lagganasīla.
adieu,(intj.) sotthy'atthu.
adjacent,(adj) anantara; sannikaṭṭha.
adjective,(nt.) guṇavacana; visesaṇapada.
adjoin,(v.t.) saṃyojeti; ghaṭeti. (pp.)
adjoining,(adj.) upantika; samīpatara;
adjournment,(m.) kālikavirāma.
adjudge,(v.t.) tīreti; viniccheti; niṇṇeti. (pp.)
adjudgement,(m.) vinicchaya. (nt.) tīraṇa.
adjudicate,(v.t.) (aṭṭaṃ) vinicchināti. (pp.)
adjudication,(m.) aṭtavinicchaya.
adjudicator,(m.) vinicchayāmacca.
adjunct,(adj.) anubaddha; saṃyutta. (m.)
adjunction,(nt.) ghaṭan a; saṅghaṭana.
adjunctive,(adj.) ghaṭitabba; saṃyojetabba.
adjure,(v.t.) sasapathaṃ codeti; bāḷhaṃ
adjust,(v.t.) saṇṭhapeti. (pp.) saṇṭhapita.
adjustment,(nt.) saṇṭhapana; samādhāna.
adjutant,(m.) b haṭapati -sahakārī.
admeasure,(v.t.) bhāgaso miṇāti. (pp.)
admeasurement,(nt.) bhāgaso miṇana.
administer,(v.t.) pasāsati; vicāreti. (pp.)
administration,(f.) pālanā. (nt.) sāsana;
admini strator,(m.) kiccādhikārī; pālaka;
admirable,(adj.) abbhuta; pasaṃsiya.
admiral,(m.) nāvikasenāpati.
admiration,(m.) vimhaya. (nt.) bahumāna.
admire,(v.t.) bahumāneti; pasaṃsati. (pp.)
admirer,(m.) pasaṃsaka; bahumānī.
admissible,(adj.) pavesanīya;
admission,(nt.) pavesana; antokaraṇa.
admissive,(adj.) pavesetabba.
admit,(v.t.) paveseti; sampaṭicchati. (pp.)
admittance,(m.) pavesa. (nt.) antokar aṇa.
admittedly,(adv.) sāṅgīkāraṃ; sapaṭiññaṃ.
admix,(v.t.) sammisseti. (pp.) sammissita.
admixture,(nt.) sammissana.
admonish,(v.t.) ovadati; anusāsati. (pp.)
admonition,(m.) ovāda. (f.) anusiṭṭhi;
ado,(m.) āyāsa ; parissama.
adolescence,(f.) vayappatti. (nt.) yobbañña.
adolescent,(adj.) vayappatta;
adopt,"(v.t.) 1. (a son), puttīyati. 2. (a"
adopted,(adj.) puttīkata.
adoption,(nt.) puttīkaraṇa; paṭipajjana;
adorable,(adj.) mahanīya; vandiya; pūjiya.
adoration,(f.) namassanā; vandanā; apaciti.
adore,(v.t.) paṇamati; namassati; vandati;
adorer,(m.) vandaka; pūjaka; sāvaka.
adorn,(v.t.) maṇḍeti; bhūseti; pasādheti;
adornment,(nt.) maṇḍana; pasādhana;
adrift,(adv.) plavamānaṃ; nirālambaṃ.
adroit,(adj.) cheka; dakkha; catura; nipuṇa;
adroitness,(nt.) nepuñña; kosalla; pāṭava.
adry,(adj.) sukkha; pipāsita.
adulate,(v.t.) ullapati; unnāmeti. (pp.)
adulation,(f.) ukkācanā; ullapanā.
adult,(n.; adj.) vayappatta; vayaṭṭha.
adulterate,(v.t.) dūseti; misseti. (pp.) dūsita;
adulteration,(nt.) dūsana; missīkaraṇa.
adulterer,(m.) paradārika; kāmamicchācārī.
adulteress,(f.) aticārinī; micchācārinī.
adultery,(m.) kāmamicchācāra. ( f.) aticariyā.
adumbrate,(v.t.) lesamattaṃ dasseti. (pp.)
adumbration,(nt.) lesamattadassana.
advance,(v.i.) abhikkamati; vaḍḍhati. (pp.)
advancement,(nt.) saṃvaḍḍhana.  advantage : (f.) sundarāvatthā; padhānatā.
advantageous,(adj.) hitakara; sātthaka;
advantageously,(adv.) sātthakaṃ;
advent,(nt.) āgamana; pāpuṇana.
adventitious,(adj.) asambhāvitasampatta.
adventure,(v.t) vīrakammaṃ karoti. (f.)
adventuresome,(adj.) vīratāsaṃyutta.
adventurous,(adj.) pagabbha; nibbhaya.
adverb,(nt.) kriyāvisesana.
adverbial,(adj.) kriyāvisesaka.
adversary,(m.) paccāmitta; sapatta; virodhī;
adverse,(adj.) viruddha; vipakkha;
adversely,(adv.) paṭilomaṃ;
adversity,(f.) vipatti; āpadā.
advertise,(v.t.) nivedeti; pakāseti;
advertisement,(nt.) pakāsana;
advertiser,(m.) pakāsaka; nivedaka .
advice,(m.) ovāda; upadesa. (f.) anusāsanā.
advisable,(adj.) sammannitabba; thomanīya.
advise,(v.t.) ovadati; anusāsati. (pp.)
advisedly,(adv.) anuviccakārena.
adviser,(m.) upadesaka; anusāsaka.
advisory,(adj.) upadesadāya ka.
advocacy,(nt.) nītyupadesadāna.
advocate,"(m.) paratthaṅkathī, paratthaṃ"
adze,(f.) tacchanī; vāsi.
aegis,(nt.) parittāṇa.
aerodrome,(nt.) vyomayānaṅgaṇa.
aeon,(m.) kappayuga.
aerate,(v.t) vāyunā misseti. (pp.)
aeriform,(adj.) vātagatika; acirappavattī.
aerogram,(nt.) vyomasāsana.
aerolite,(m.) ukkāpāta.
aerometor,(m.) vāyumāṇaka.
aeronaut,(m.) gagananāvika.
aeroplane,(nt.) vyomayāna; gaganayāna.
aesthetic,(adj.) 1. ṃanorama; 2.
aesthetic al,(adj.) 1. ṃanorama; 2.
aesthetically,(adv.) rammākārena.
aesthetics,(f.; plu.) sobhanattavicāraṇa.
afar,(adv.) dūrato; ārā.
affable,(adj.) susīla; piyaṃvada; piyasīla.
affair,(nt.) kicca. (f.) siddhi.
affect,(v.t.) 1. āc arati; 2. ābhibhavati (the
affectation,(f.) ayathādassanā. (m.) dappa.
affected,(adj.) 1. abhūtenāropita; 2.
affectedly,(adv.) abhūtena; patirūpena.
affecting,(adj.) hadayaṅgama.
affectingly,(adv.) hadayaṅgamākārena.
affection,(m.) sineha; anurāga. (nt.) pema.
affectionate,(adj.) sasneha; sapema;
affectionately,(adv.) sānurāgaṃ; sap emaṃ.
affiance,(nt.) paṭiññādāna. (f.)
affiancer,(m.) paṭiññādāyaka.
affidavit,(nt.) sapathapaṇṇa.
affiliate,(v.t.) 1. saṃyojeti; 2. puttīkaroti.
affiliation,(nt.) aṅgikaraṇa;  saṃyojana.
affined,(adj.) ñātibhūta.
affinity,(nt.; m.) ñatisambandha. (f.)
affirm,(v.t.) thirīkaroti; daḷhīkaroti. (pp.)
affirmation,(nt.) 1. daḷhīkaraṇa; 2.
affirmative,(adj.) atthayattha; nicchayakara.
affirm atively,(adv.) nicchayākārena;
affix,(v.t.) sambandheti; saṅghaṭeti. (pp.)
affirmatory,(adj.) nicchetabba;
afflict,(v.t.) pīḷeti; santāpeti; vyathati. (pp.)
afflicted with grief,(adj.) sokapareta ; afflicted with misery: (adj.) dukkhotiṇṇa ; afflicted
with pain,(adj.) vedanaṭṭa.
affliction,(m.) paritāpa; kheda; (f.) pilā.
afflictive,(adj.) dukkhā vaha; pīḷākara.
affluent,(adj.) samiddhi; aḍḍha;
afflux,(nt.) samosaraṇa; pasavana; sandana.
afford,(v.t.) 1. sampādeti; 2. sakkoti; pahoti.
afforest,(v.t.) araññataṃ neti. (pp.)
affranch ise,(v.t.) dāsavyā or paṭiññāto
affray,(m.) kalaha; viggaha. (nt.) bhaṇḍana.
affright,(v.t) tāseti; bhāyāpeti. (pp.) tāsita;
affront,(m.) anādara; agārava; avamāna. (f.)
affusion,(nt.) āsiñcana; osiñcana.
afield,(adv.) 1. aṅgaṇe; 2. dūre.
afire,(adj.) ḍayhamāna.
aflame,(adj.) āditta.
afloat,(adv.) 1. plavamānaṃ; 2.
afoot,(adv.) 1. padasā; 2. sappayogaṃ.
afore,(adv.) 1. ābhimukhe; purato; 2. purā;
afore named,(adj.) pubbevutta; yathāvutta.
afore said,(adj.) pubbevutta; yathāvutta.
afore thought,(adj.) pubbacintita.
afore time,(adv.) purā; puretaṃ .
afraid,(adj.) bhīta; tasita; bhayaṭṭa; utrasta.
afresh,(adv.) abhinavaṃ; puna.
after,(adv.) pacchā; anantaraṃ; tato paraṃ;
after a long time,(adv.) cirena.
after birth,(nt.) gabbhamaṃsa.
after crop,(nt.) dutiyasassa.
after pains,(f.) pasavavedanā.
after that,(adv.) atha. (ind.) tato pacchā.
after thought,(m.) anuvitakka.
afternoon,(m.) aparaṇha. (nt.)
afterwards,(adv.) pacchā; aparabhāge.
again,(adv.) puna.
again and again,(adv.) punappunaṃ.
against,(prep.) paṭilomaṃ; paṭimukhaṃ;
against the order,(adv.) uppaṭipāṭiyā.
against the wind,(adv.) paṭivātaṃ.
agamous,(adj.) napuṃsaka;
agape,(adv.) vivaṭamukhena; (adj.)
age,(nt.) āyu; vaya. (m.) s amaya; kāla; yuga.
aged,(adj.) vuddha; mahallka.
agelimit,(nt.) paramāyu.
agency,(nt.) niyojitadhura; (office) (m.)
agenda,(f.) kiccapaṭipāti.
agent,(m.) niyojita; anuyutta; (in gram) (nt.)
agglomerate,(v.t.) piṇḍīkaroti; sañcināti.
agglomeration,(nt.) piṇḍīkaraṇa; (m.)
agglutinate,(v.t.) samāseti; samapiṇḍeti.
agglutination,(nt.) samāsana; sampiṇḍana.
aggrandise,(v.t.) pavaḍḍheti; samu kkaṃseti.
aggrandisement,(m.) samukkaṃsa; (f.)
aggravate,(v.t.) bhāriyaṃ or garutaraṃ
aggravation,(nt.) bhārīkaraṇa; uddīpana.
aggregate,(v.t.) sañcināti; rāsīka roti; (pp.)
aggress,(v.i.) kalaham ārabhati. (pp.)
aggression,(m.) kalahārambha; atyācāra.
aggressive,(adj.) kalahakārī.
aggres sor,(m.) pathamakkamaka;
aggregation,(nt.) sañcinana; rāsīkaraṇa.
aggrieve,(v.t.) dukkhāpeti; sokam upādeti.
aghast,(adj.) bhayākula; cakita.
agile,(adj.) nipuṇa; sakkha; sīgha; turita.
agility,(nt.) kosalla; nepuñña; sīghatta.
agitate,(v.t.) 1. khobheti; kampeti; āloleti;
agitation,(nt.) iñjana; phandana. (m.)
agitator,(m.) saṅkhobhaka; ālolaka.
aglow,(adj.) sajotibhūta.
agnate,(adj.) pitupakkhika.
agonistic,(adj.) 1. kiḷāpaṭibaddha; 2.
agnostic,(m.) anissaravādī; lokāyatika.
agnosticism,(adj.) anissaravāda.
ago,(adv.) purā; pubbe.
agog,(adv.) accāsāpubbakaṃ.
agonise,(v.t.) vyathati; santāpeti; ābādhita.
agony,(f.) vedanā; ruj ā. (m.) vyādhi.
agree,(v.i.) saṃsandati; sameti; (with inst.)
agree upon,sādiyati; sammannati.
agreeable,(adj.) iṭṭha; kanta; manāpa;
agreeableness,(f.) ramanī yatā; manuññatā.
agreeably,(adv.) yathāruciṃ; yathāsukhaṃ;
agreement,(f.) sammuti; anumati; paṭiññā.
agricultural,(adj.) kasikammavisayaka.
agriculture,(nt.) kasikamma.
agriculturist,(m.) kassaka; ropaka.
aground,(adv. ) uttīraṃ.
ah,(intj.) hā; aho; ahaha.
ahead,(adv.) purato; agge; abhimukhe.
aid,(v.t.) upakaroti; upatthambheti. (pp.)
aidless,(adj.) anātha; asaraṇa; asahāya.
ail,(v.t.) pīḷeti; dukkhāpeti. (pp.) pīḷita;
ailing,(adj.) rujākara; rujamāna; vedanaṭṭa.
ailment,(m.) roga; vyādhi; ābādha.
aim,(v.t.) ākaṅkhati; abhipattheti. (pp.)
aiming at,(to say some thing) (abs.) āhacca;
aimless,(adj.) anabhilakkhita; niṭṭhārahita.
aimlessly,(adv.) anavaṭṭhitaṃ;
air,(m.) 1. vāta; vāyu; māl uta; anila; pavana;
air course,(m.) vāyupavesamagga.
aircushion,(nt.) vāyupūritanisīdana.
airless,(adj.) nivāta; vāyurahita.
airman,(m.) vyomanāvika.
airship,(nt.) vyomayāna.
airtight,(adj.) vātanivāraka.
airy,(adj.) 1. vāyusahita; 2. vāyusadisa; 3.
aisle,(m.) alinda.
ajar,(adv.) thokaṃ -vivaṭa.
akin,(adj.) sagotta; sajātika.
alabaster,(f.) setasilā. (m.) khūra pāsāṇa.
alack,(intj.) aho; alakkhikaṃ.
alacrity,(f.) sīghatā; paṭutā.
almanac,(nt.) nakkhattapañcaṅga. (nt.)
alarm,(v.t.) uttāseti; antarāyaṃ ñapeti. (pp.)
alarmbell,(f.) pabodhaka -ghaṇṭā.
alarming,(adj.) bhayaṅkara; bhayajanaka.
alarmist,(m.) bhāyanasīla bhītibahula.
alas,(intj.) aho dukkhaṃ!
albeit,(adv.) tathā pi; api ca.
album,(m.) tucchapotthaka.
alchemic,(adj.) rasavijjāyatta.
alchemist,(m.) rasavejja.
alchemy,(f.) rasavijjā.
alcohol,(m.) majjasāra.
alcoholic,(adj.) maj jaguṇayutta.
alcoholize,(v.t.) majjabhāvaṃ pāpeti;
alcoran,(m.) mahammadīya -dhammagantha.
alderman,(m.) nigamasāmī.
ale,(f.) yavasurā.
alehouse,(nt.) pānamandira.
alert,(adj.) apamatta; atandita.
alertness,(m.) appamāda; ātap pa. (nt.)
algebra,(nt.) bījagaṇita.
alias,(adv.) atha vā; aññathā. (nt.)
alien,(adj.) bāhira; videsīya; paravisayaka.
alienate,(v.t.) 1. pa rādhīnaṃ karoti; 2.
alienation,(nt.) sāmiparivattana. (m.)
alight,(v.i.) otarati; oruhati; paccorohati.
alignment,(nt.) ujuttāpādana; ekapantiyā
alike,(adj.) samāna; sadisa; tulya; sanibha;
aliment,(m.) āhāra. (nt.) anna.
alimentary,(adj.) posaka; ojādāyaka.
alimony,(nt.) posaṇa; bhariyāya
alive,(adj.) 1 . sajīva; sacetana; jīvamāna; 2.
alkali,(nt.) khārosadha.
alkaline,(adj.) khārika; ūsara; loṇika.
all,(adj.) sabba; sakala; akhila; nikhila; asesa;
all along,(adv.) nirantaraṃ; ādito yāva antā.
all around,(adv.) samantā; parito .
all at once,(adv.) ekappahārena.
all but one,ekanūnā sabbe.
all conquering,(adj.) sabbābhibhū.
all embracing,(adj.) sabhavyāpaka.
all knowing,(adj.) sabbaññū; sabbavidū.
all pervading,(adj.) sabbavyāpī.
all pleasing,(adj.) samantabhaddaka.
all seeing,(adj.; n.) sabbadassī;
allay,(v.t.) upasameti; passambheti;
allayment,(m.) upasama. (f.) passad dhi.
allegation,(f.) codanā. (nt.) pakāsana.
allege,(v.t.) codeti; pakāseti. (pp.) codita;
allegiance,(f.) rājabhatti; rajjapakkhapātitā.
allegorical,(adj.) rūpakamaya;
allegorically,(adv.) rūpakavasena.
allegory,(f.) rū pakakathā; upamākathā.
alleviate,(v.t.) tanukaroti; sameti;
alleviation,(nt.) upasamana; tanukaraṇa.
alliance,(m.) sambandha; saṃyoga. (nt.)
allied,(adj.) sambaddha; saṃyutta;
allied army,(f.) mittasenā.
alligation,(nt.) saṃyojana; sandhikaraṇa.
alligator,(m.) kumbhīla; suṃsumāra.
alliteration,(m.) anuppāsa. (f.)
allocate,(v.t.) onojeti; koṭṭhāse niyameti.
allocation,(nt.) onojana; bhāganiyamana.
allot,(v.t.) saṃvibhajati; bhāgaso deti. (pp.)
allotment,(m.) vibhatta -koṭṭhāsa. (nt.)
allow,(v.t.) anujānāti; anumaññati;
allowable,(adj.) anuññātabba; aṅgīkaraṇīya.
allowance,(f.) anuññā; anumati. ( --granted
alloy,(v.t.) misseti; dūseti. (pp.) missita;
allude,(v.i.) aniyamena vadati; sandhāya  or
allure,(v.t.) palobheti; sammoheti. (pp.)
allurement,(nt.) palobhana; sammohana.
alluring,(adj.) palobhaka.
